"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","24","34","1","1","141.200378","0","628"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","24","44","1","1","78.773376","0","1030"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","24","34","1","1","46.266361","0","585"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","2","2","1","1.937729","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","30","1","1","38.127308","0","494"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","15","2","1","18.734594","0","132"
"/Engine/VREditor/TransformGizmo/Main.Main","24","2","2","1","1.925424","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","2","2","1","1.988679","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","4","1","1","2.947190","0","13"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","24","2","2","1","2.006314","0","3"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","24","150","76","2","385.527344","0","1577"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","24","75","4","1","108.135338","0","945"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","24","75","1","1","102.101570","0","1117"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","30","1","1","38.826523","0","238"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","2","2","1","3.450685","0","3"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","4","1","1","4.973857","0","13"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","39","6","2","85.286209","0","337"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","4","2","1","8.517268","0","11"
"/ControlRig/M_Manip.M_Manip","24","4","1","1","3.607366","0","13"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","2","2","1","1.998650","0","3"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","24","4","1","1","3.718541","0","10"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","24","44","1","1","50.935802","0","361"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","10","1","1","17.429808","0","56"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","10","7","1","11.635525","0","28"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","77","8","1","111.130386","0","1342"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","285","14","1","484.620636","0","11042"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","762","39","1","1632.683594","0","49702"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","22","1","1","73.356483","0","152"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","28","20","6","60.616352","0","76"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","4","1","1","10.919940","0","13"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","4","1","1","7.330605","0","13"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","2","2","1","6.241856","0","3"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","2","2","1","9.445885","0","3"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","44","6","1","183.779633","0","585"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","104","43","1","469.912445","0","1602"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","24","30","17","2","112.568291","0","125"
